,alphabet,mean,std
0,a,0.32964763,0.10443867
1,b,0.08075446,0.039445862
2,c,0.17155828,0.08634501
3,d,0.14550142,0.075411566
4,e,0.40575144,0.14280227
5,f,0.051878083,0.03461325
6,g,0.102205835,0.06614415
7,h,0.11603728,0.060344495
8,i,0.33263054,0.14912817
9,j,0.0073661767,0.0075865644
10,k,0.03813064,0.023486767
11,l,0.22902486,0.09596972
12,m,0.123178504,0.05606778
13,n,0.28058144,0.14927469
14,o,0.27393374,0.12454959
15,p,0.12830319,0.07857786
16,q,0.0083137555,0.018621333
17,r,0.2809954,0.12342483
18,s,0.2689481,0.10693346
19,t,0.2559031,0.11619382
20,u,0.15441307,0.09521624
21,v,0.043395754,0.045566715
22,w,0.034484435,0.024640791
23,x,0.012646728,0.017768107
24,y,0.08694588,0.063278526
25,z,0.01837014,0.015528977
